Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year,Total,PerHundred,Gender_index
Adult,Females,AUT,Austria,2014,83879,8546356,501,5.86,0.7266
Adult,Females,AUT,Austria,2015,83879,8642699,498,5.76,0.733
Adult,Females,AUT,Austria,2016,83879,8736668,481,5.51,0.716
Adult,Females,AUT,Austria,2017,83879,8797566,508,5.77,0.709
Adult,Females,AUT,Austria,2018,83879,8840521,555,6.28,0.718
Adult,Females,AUT,Austria,2019,83879,8879920,600,6.76,0.731
Adult,Females,AUT,Austria,2020,83879,8916864,544,6.1,0.744
Adult,Females,AUT,Austria,2021,83879,8955797,517,5.77,0.777
Adult,Females,AUT,Austria,2022,83879,9041851,596,6.59,0.781
Adult,Females,AUT,Austria,2023,83879,9131761,605,6.63,0.74
Adult,Females,BEL,Belgium,2015,30689,11274196,525,4.66,0.753
Adult,Females,BEL,Belgium,2017,30689,11375158,440,3.87,0.739
Adult,Females,BEL,Belgium,2018,30689,11427054,461,4.03,0.738
Adult,Females,BEL,Belgium,2019,30689,11488980,479,4.17,0.7444999999999999
Adult,Females,BEL,Belgium,2020,30689,11538604,490,4.25,0.751
Adult,Females,BEL,Belgium,2021,30689,11586195,507,4.38,0.789
Adult,Females,BEL,Belgium,2022,30689,11680210,503,4.31,0.793
Adult,Females,BEL,Belgium,2023,30689,11779946,510,4.33,0.796
Adult,Females,BGR,Bulgaria,2014,110994,7073572,258,3.65,0.7444
Adult,Females,BGR,Bulgaria,2015,110994,6984225,245,3.51,0.722
Adult,Females,BGR,Bulgaria,2016,110994,6894139,228,3.31,0.726
Adult,Females,BGR,Bulgaria,2017,110994,6803468,218,3.2,0.756
Adult,Females,BGR,Bulgaria,2018,110994,6710798,213,3.17,0.756
Adult,Females,BGR,Bulgaria,2019,110994,6616726,216,3.26,0.7415
Adult,Females,BGR,Bulgaria,2020,110994,6550696,192,2.93,0.727
Adult,Females,BGR,Bulgaria,2021,110994,6507301,209,3.21,0.746
Adult,Females,BGR,Bulgaria,2022,110994,6465097,207,3.2,0.74
Adult,Females,BGR,Bulgaria,2023,110994,6446596,227,3.52,0.715
Adult,Females,CYP,Cyprus,2014,9251,1201801,30,2.5,0.6741
Adult,Females,CYP,Cyprus,2015,9251,1219502,31,2.54,0.671
Adult,Females,CYP,Cyprus,2016,9251,1237112,41,3.31,0.684
Adult,Females,CYP,Cyprus,2017,9251,1254275,33,2.63,0.684
Adult,Females,CYP,Cyprus,2018,9251,1270737,36,2.83,0.684
Adult,Females,CYP,Cyprus,2019,9251,1286671,33,2.56,0.688
Adult,Females,CYP,Cyprus,2020,9251,1302247,30,2.3,0.692
Adult,Females,CYP,Cyprus,2021,9251,1317309,73,5.54,0.707
Adult,Females,CYP,Cyprus,2022,9251,1331370,56,4.21,0.696
Adult,Females,CYP,Cyprus,2023,9251,1344976,57,4.24,0.678
Adult,Females,CZE,Czechia,2014,78871,10525347,1164,11.06,0.6737
Adult,Females,CZE,Czechia,2015,78871,10546059,1430,13.56,0.687
Adult,Females,CZE,Czechia,2016,78871,10566332,1635,15.47,0.69
Adult,Females,CZE,Czechia,2017,78871,10594438,1631,15.39,0.688
Adult,Females,CZE,Czechia,2018,78871,10629928,1638,15.41,0.693
Adult,Females,CZE,Czechia,2019,78871,10671870,1740,16.3,0.6995
Adult,Females,CZE,Czechia,2020,78871,10697858,1564,14.62,0.706
Adult,Females,CZE,Czechia,2021,78871,10505772,1515,14.42,0.711
Adult,Females,CZE,Czechia,2022,78871,10672118,1611,15.1,0.71
Adult,Females,CZE,Czechia,2023,78871,10864042,1707,15.71,0.685
Adult,Females,DEU,Germany,2014,357596,80982500,3639,4.49,0.778
Adult,Females,DEU,Germany,2015,357596,81686611,3609,4.42,0.779
