Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year, Total ,PerHundred,Gender_index,is_eu_avg
Total,Females,AUT,Austria,2022,83879,9041851,599,6.62,0.781,0
Total,Males,AUT,Austria,2022,83879,9041851,8394,92.83,0.781,0
Total,Total,AUT,Austria,2022,83879,9041851,8993,99.46,0.781,0
Total,Females,AUT,Austria,2021,83879,8955797,527,5.88,0.777,0
Total,Males,AUT,Austria,2021,83879,8955797,7909,88.31,0.777,0
Total,Total,AUT,Austria,2021,83879,8955797,8436,94.2,0.777,0
Total,Females,AUT,Austria,2020,83879,8916864,554,6.21,0.744,0
Total,Males,AUT,Austria,2020,83879,8916864,7934,88.98,0.744,0
Total,Total,AUT,Austria,2020,83879,8916864,8488,95.19,0.744,0
Total,Females,AUT,Austria,2023,83879,9131761,614,6.72,0.74,0
Total,Males,AUT,Austria,2023,83879,9131761,8475,92.81,0.74,0
Total,Total,AUT,Austria,2023,83879,9131761,9089,99.53,0.74,0
Total,Females,AUT,Austria,2015,83879,8642699,498,5.76,0.733,0
Total,Males,AUT,Austria,2015,83879,8642699,8057,93.22,0.733,0
Total,Total,AUT,Austria,2015,83879,8642699,8665,100.26,0.733,0
Total,Females,AUT,Austria,2019,83879,8879920,606,6.82,0.731,0
Total,Males,AUT,Austria,2019,83879,8879920,8466,95.34,0.731,0
Total,Total,AUT,Austria,2019,83879,8879920,9072,102.16,0.731,0
Total,Females,AUT,Austria,2014,83879,8546356,507,5.93,0.7266,0
Total,Males,AUT,Austria,2014,83879,8546356,8185,95.77,0.7266,0
Total,Total,AUT,Austria,2014,83879,8546356,8692,101.7,0.7266,0
Total,Females,AUT,Austria,2018,83879,8840521,563,6.37,0.718,0
Total,Males,AUT,Austria,2018,83879,8840521,8600,97.28,0.718,0
Total,Total,AUT,Austria,2018,83879,8840521,9163,103.65,0.718,0
Total,Females,AUT,Austria,2016,83879,8736668,492,5.63,0.716,0
Total,Males,AUT,Austria,2016,83879,8736668,8127,93.02,0.716,0
Total,Total,AUT,Austria,2016,83879,8736668,8619,98.65,0.716,0
Total,Females,AUT,Austria,2017,83879,8797566,518,5.89,0.709,0
Total,Males,AUT,Austria,2017,83879,8797566,8334,94.73,0.709,0
Total,Total,AUT,Austria,2017,83879,8797566,8852,100.62,0.709,0
Total,Females,BEL,Belgium,2023,30689,11779946,510,4.33,0.796,0
Total,Males,BEL,Belgium,2023,30689,11779946,11383,96.63,0.796,0
Total,Total,BEL,Belgium,2023,30689,11779946,11893,100.96,0.796,0
Total,Females,BEL,Belgium,2022,30689,11680210,503,4.31,0.793,0
Total,Males,BEL,Belgium,2022,30689,11680210,10547,90.3,0.793,0
Total,Total,BEL,Belgium,2022,30689,11680210,11050,94.6,0.793,0
Total,Females,BEL,Belgium,2021,30689,11586195,507,4.38,0.789,0
Total,Males,BEL,Belgium,2021,30689,11586195,10262,88.57,0.789,0
Total,Total,BEL,Belgium,2021,30689,11586195,10769,92.95,0.789,0
Total,Females,BEL,Belgium,2014,30689,11779946,531,4.51,0.7809,0
Total,Males,BEL,Belgium,2014,30689,11779946,11238,95.39,0.7809,0
Total,Total,BEL,Belgium,2014,30689,11779946,11769,99.90,0.7809,0
Total,Females,BEL,Belgium,2015,30689,11274196,529,4.69,0.753,0
Total,Males,BEL,Belgium,2015,30689,11274196,10355,91.85,0.753,0
Total,Total,BEL,Belgium,2015,30689,11274196,10994,97.51,0.753,0
Total,Females,BEL,Belgium,2020,30689,11538604,490,4.25,0.751,0
Total,Males,BEL,Belgium,2020,30689,11538604,9867,85.51,0.751,0
Total,Total,BEL,Belgium,2020,30689,11538604,10357,89.76,0.751,0
Total,Females,BEL,Belgium,2016,30689,11779946,480,4.07,0.745,0
Total,Males,BEL,Belgium,2016,30689,11779946,9870,83.78,0.745,0
Total,Total,BEL,Belgium,2016,30689,11779946,10350,87.86,0.745,0
Total,Females,BEL,Belgium,2019,30689,11488980,479,4.17,0.7444999999999999,0
Total,Males,BEL,Belgium,2019,30689,11488980,10315,89.78,0.7444999999999999,0
Total,Total,BEL,Belgium,2019,30689,11488980,10794,93.95,0.7444999999999999,0
Total,Females,BEL,Belgium,2017,30689,11375158,440,3.87,0.739,0
Total,Males,BEL,Belgium,2017,30689,11375158,10031,88.18,0.739,0
Total,Total,BEL,Belgium,2017,30689,11375158,10471,92.05,0.739,0
Total,Females,BEL,Belgium,2018,30689,11427054,461,4.03,0.738,0
Total,Males,BEL,Belgium,2018,30689,11427054,9800,85.76,0.738,0
Total,Total,BEL,Belgium,2018,30689,11427054,10261,89.8,0.738,0
Total,Females,BGR,Bulgaria,2017,110994,6803468,219,3.22,0.756,0
Total,Females,BGR,Bulgaria,2018,110994,6710798,215,3.2,0.756,0
Total,Males,BGR,Bulgaria,2017,110994,6803468,6769,99.49,0.756,0
Total,Males,BGR,Bulgaria,2018,110994,6710798,6436,95.91,0.756,0
Total,Total,BGR,Bulgaria,2017,110994,6803468,6988,102.71,0.756,0
Total,Total,BGR,Bulgaria,2018,110994,6710798,6651,99.11,0.756,0
Total,Females,BGR,Bulgaria,2021,110994,6507301,210,3.23,0.746,0
Total,Males,BGR,Bulgaria,2021,110994,6507301,5663,87.03,0.746,0
Total,Total,BGR,Bulgaria,2021,110994,6507301,5873,90.25,0.746,0
Total,Females,BGR,Bulgaria,2014,110994,7073572,259,3.66,0.7444,0
Total,Males,BGR,Bulgaria,2014,110994,7073572,7611,107.6,0.7444,0
Total,Total,BGR,Bulgaria,2014,110994,7073572,7870,111.26,0.7444,0
Total,Females,BGR,Bulgaria,2019,110994,6616726,216,3.26,0.7415,0
