Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year,Per hundred thousand inhabitants,Gender_index
Adult,Total,AUT,Austria,2014,83879,8546356,122.77,0.7266
Adult,Total,AUT,Austria,2015,83879,8642699,121.15,0.733
Adult,Total,AUT,Austria,2016,83879,8736668,118.43,0.716
Adult,Total,AUT,Austria,2017,83879,8797566,120.2,0.709
Adult,Total,AUT,Austria,2018,83879,8840521,123.95,0.718
Adult,Total,AUT,Austria,2019,83879,8879920,121.88,0.731
Adult,Total,AUT,Austria,2020,83879,8916864,114.13,0.744
Adult,Total,AUT,Austria,2021,83879,8955797,112.87,0.777
Adult,Total,AUT,Austria,2022,83879,9041851,119.91,0.781
Adult,Total,AUT,Austria,2023,83879,9131761,119.18,0.74
Adult,Total,BEL,Belgium,2015,30689,11274196,121.42,0.753
Adult,Total,BEL,Belgium,2017,30689,11375158,115.74,0.739
Adult,Total,BEL,Belgium,2018,30689,11427054,112.89,0.738
Adult,Total,BEL,Belgium,2019,30689,11488980,118.09,0.7444999999999999
Adult,Total,BEL,Belgium,2020,30689,11538604,112.55,0.751
Adult,Total,BEL,Belgium,2021,30689,11586195,116.63,0.789
Adult,Total,BEL,Belgium,2022,30689,11680210,118.95,0.793
Adult,Total,BEL,Belgium,2023,30689,11779946,126.57,0.796
Adult,Total,BGR,Bulgaria,2014,110994,7073572,128.68,0.7444
Adult,Total,BGR,Bulgaria,2015,110994,6984225,122.29,0.722
Adult,Total,BGR,Bulgaria,2016,110994,6894139,122.71,0.726
Adult,Total,BGR,Bulgaria,2017,110994,6803468,117.79,0.756
Adult,Total,BGR,Bulgaria,2018,110994,6710798,113.09,0.756
Adult,Total,BGR,Bulgaria,2019,110994,6616726,110.63,0.7415
Adult,Total,BGR,Bulgaria,2020,110994,6550696,107.97,0.727
Adult,Total,BGR,Bulgaria,2021,110994,6507301,102.33,0.746
Adult,Total,BGR,Bulgaria,2022,110994,6465097,98.53,0.74
Adult,Total,BGR,Bulgaria,2023,110994,6446596,103.18,0.715
Adult,Total,CYP,Cyprus,2014,9251,1201801,74.09,0.6741
Adult,Total,CYP,Cyprus,2015,9251,1219502,77.17,0.671
Adult,Total,CYP,Cyprus,2016,9251,1237112,84.05,0.684
Adult,Total,CYP,Cyprus,2017,9251,1254275,83.15,0.684
Adult,Total,CYP,Cyprus,2018,9251,1270737,86.68,0.684
Adult,Total,CYP,Cyprus,2019,9251,1286671,103.87,0.688
Adult,Total,CYP,Cyprus,2020,9251,1302247,83.02,0.692
Adult,Total,CYP,Cyprus,2021,9251,1317309,105.59,0.707
Adult,Total,CYP,Cyprus,2022,9251,1331370,127.41,0.696
Adult,Total,CYP,Cyprus,2023,9251,1344976,120.44,0.678
Adult,Total,CZE,Czechia,2014,78871,10525347,214.16,
Adult,Total,CZE,Czechia,2015,78871,10546059,239.66,
Adult,Total,CZE,Czechia,2016,78871,10566332,258.67,
Adult,Total,CZE,Czechia,2017,78871,10594438,255.11,
Adult,Total,CZE,Czechia,2018,78871,10629928,248.4,
Adult,Total,CZE,Czechia,2019,78871,10671870,241.93,
Adult,Total,CZE,Czechia,2020,78871,10697858,220.9,
Adult,Total,CZE,Czechia,2021,78871,10505772,215.22,
Adult,Total,CZE,Czechia,2022,78871,10672118,223.18,
Adult,Total,CZE,Czechia,2023,78871,10864042,223.08,
Adult,Total,DEU,Germany,2014,357596,80982500,93.41,0.778
Adult,Total,DEU,Germany,2015,357596,81686611,92.56,0.779
Adult,Total,DNK,Denmark,2014,42952,5643475,80.32,0.8025
Adult,Total,DNK,Denmark,2015,42952,5683483,71.21,0.767
Adult,Total,DNK,Denmark,2016,42952,5728010,74.72,0.754
Adult,Total,DNK,Denmark,2017,42952,5764980,75.6,0.776
Adult,Total,DNK,Denmark,2018,42952,5793636,78.49,0.778
Adult,Total,DNK,Denmark,2019,42952,5814422,84.19,0.78
Adult,Total,DNK,Denmark,2020,42952,5831404,89.14,0.782
Adult,Total,DNK,Denmark,2021,42952,5856733,89.95,0.768
Adult,Total,DNK,Denmark,2022,42952,5903037,88.93,0.764
Adult,Total,DNK,Denmark,2023,42952,5946952,86.75,0.78
Adult,Total,EST,Estonia,2014,45339,1314545,279.9,0.7017
Adult,Total,EST,Estonia,2015,45339,1315407,266.07,0.749
Adult,Total,EST,Estonia,2016,45339,1315790,269.85,0.747
Adult,Total,EST,Estonia,2017,45339,1317384,253.63,0.731
Adult,Total,EST,Estonia,2018,45339,1321977,240.86,0.734
Adult,Total,EST,Estonia,2020,45339,1329522,218.58,0.751
Adult,Total,EST,Estonia,2021,45339,1330932,203.76,0.733
Adult,Total,EST,Estonia,2022,45339,1348840,196.24,0.733
Adult,Total,EST,Estonia,2023,45339,1370286,167.76,0.782
Adult,Total,GRC,Greece,2014,131957,10892413,130.78,0.6784
Adult,Total,GRC,Greece,2015,131957,10820883,107.21,0.685
Adult,Total,GRC,Greece,2016,131957,10775971,107.16,0.68
Adult,Total,GRC,Greece,2017,131957,10754679,112.56,0.692
Adult,Total,GRC,Greece,2018,131957,10732882,119.85,0.696
Adult,Total,GRC,Greece,2019,131957,10721582,122.55,0.6984999999999999
Adult,Total,GRC,Greece,2020,131957,10698599,128.0,0.701
Adult,Total,GRC,Greece,2021,131957,10569207,124.39,0.689
Adult,Total,GRC,Greece,2022,131957,10436882,120.48,0.689
Adult,Total,GRC,Greece,2023,131957,10407351,117.36,0.693
Adult,Total,ESP,Spain,2014,505990,46460733,165.01,0.7325
Adult,Total,ESP,Spain,2015,505990,46422303,156.75,0.742
