Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year,Total,PerHundred,Gender_index,is_eu_avg
Total,Total,AUT,Austria,2014,83879,8546356,8692,101.7,0.7266,0
Total,Total,AUT,Austria,2015,83879,8642699,8665,100.26,0.733,0
Total,Total,AUT,Austria,2016,83879,8736668,8619,98.65,0.716,0
Total,Total,AUT,Austria,2017,83879,8797566,8852,100.62,0.709,0
Total,Total,AUT,Austria,2018,83879,8840521,9163,103.65,0.718,0
Total,Total,AUT,Austria,2019,83879,8879920,9072,102.16,0.731,0
Total,Total,AUT,Austria,2020,83879,8916864,8488,95.19,0.744,0
Total,Total,AUT,Austria,2021,83879,8955797,8436,94.2,0.777,0
Total,Total,AUT,Austria,2022,83879,9041851,8993,99.46,0.781,0
Total,Total,AUT,Austria,2023,83879,9131761,9089,99.53,0.74,0
Total,Total,BEL,Belgium,2015,30689,11274196,10994,97.51,0.753,0
Total,Total,BEL,Belgium,2017,30689,11375158,10471,92.05,0.739,0
Total,Total,BEL,Belgium,2018,30689,11427054,10261,89.8,0.738,0
Total,Total,BEL,Belgium,2019,30689,11488980,10794,93.95,0.7444999999999999,0
Total,Total,BEL,Belgium,2020,30689,11538604,10357,89.76,0.751,0
Total,Total,BEL,Belgium,2021,30689,11586195,10769,92.95,0.789,0
Total,Total,BEL,Belgium,2022,30689,11680210,11050,94.6,0.793,0
Total,Total,BEL,Belgium,2023,30689,11779946,11893,100.96,0.796,0
Total,Total,BGR,Bulgaria,2014,110994,7073572,7870,111.26,0.7444,0
Total,Total,BGR,Bulgaria,2015,110994,6984225,7408,106.07,0.722,0
Total,Total,BGR,Bulgaria,2016,110994,6894139,7345,106.54,0.726,0
Total,Total,BGR,Bulgaria,2017,110994,6803468,6988,102.71,0.756,0
Total,Total,BGR,Bulgaria,2018,110994,6710798,6651,99.11,0.756,0
Total,Total,BGR,Bulgaria,2019,110994,6616726,6448,97.45,0.7415,0
Total,Total,BGR,Bulgaria,2020,110994,6550696,6251,95.42,0.727,0
Total,Total,BGR,Bulgaria,2021,110994,6507301,5873,90.25,0.746,0
Total,Total,BGR,Bulgaria,2022,110994,6465097,5577,86.26,0.74,0
Total,Total,BGR,Bulgaria,2023,110994,6446596,5526,85.72,0.715,0
Total,Total,CYP,Cyprus,2014,9251,1201801,532,44.27,0.6741,0
Total,Total,CYP,Cyprus,2015,9251,1219502,547,44.85,0.671,0
Total,Total,CYP,Cyprus,2016,9251,1237112,586,47.37,0.684,0
Total,Total,CYP,Cyprus,2017,9251,1254275,592,47.2,0.684,0
Total,Total,CYP,Cyprus,2018,9251,1270737,619,48.71,0.684,0
Total,Total,CYP,Cyprus,2019,9251,1286671,759,58.99,0.688,0
Total,Total,CYP,Cyprus,2020,9251,1302247,601,46.15,0.692,0
Total,Total,CYP,Cyprus,2021,9251,1317309,795,60.35,0.707,0
Total,Total,CYP,Cyprus,2022,9251,1331370,958,71.96,0.696,0
Total,Total,CYP,Cyprus,2023,9251,1344976,959,71.3,0.678,0
Total,Total,CZE,Czechia,2014,78871,10525347,18658,177.27,0.6737,0
Total,Total,CZE,Czechia,2015,78871,10546059,20866,197.86,0.687,0
Total,Total,CZE,Czechia,2016,78871,10566332,22481,212.76,0.69,0
Total,Total,CZE,Czechia,2017,78871,10594438,22159,209.16,0.688,0
Total,Total,CZE,Czechia,2018,78871,10629928,21577,202.98,0.693,0
Total,Total,CZE,Czechia,2019,78871,10671870,21048,197.23,0.6995,0
Total,Total,CZE,Czechia,2020,78871,10697858,19286,180.28,0.706,0
Total,Total,CZE,Czechia,2021,78871,10505772,18748,178.45,0.711,0
Total,Total,CZE,Czechia,2022,78871,10672118,19052,178.52,0.71,0
Total,Total,CZE,Czechia,2023,78871,10864042,19569,180.13,0.685,0
Total,Total,DEU,Germany,2014,357596,80982500,63228,78.08,0.778,0
Total,Total,DEU,Germany,2015,357596,81686611,63020,77.15,0.779,0
Total,Total,DEU,Germany,2016,357596,82348669,64291,78.07,0.766,0
Total,Total,DEU,Germany,2017,357596,82657002,65841,79.66,0.778,0
Total,Total,DEU,Germany,2018,357596,82905782,65762,79.32,0.776,0
Total,Total,DEU,Germany,2019,357596,83092962,63146,75.99,0.7815000000000001,0
Total,Total,DEU,Germany,2020,357596,83160871,59585,71.65,0.787,0
Total,Total,DEU,Germany,2021,357596,83196078,57525,69.14,0.796,0
Total,Total,DEU,Germany,2022,357596,83177813,57465,69.09,0.801,0
Total,Total,DEU,Germany,2023,357596,83287273,59165,71.04,0.815,0
Total,Total,DNK,Denmark,2014,42952,5643475,3583,63.49,0.8025,0
Total,Total,DNK,Denmark,2015,42952,5683483,3203,56.36,0.767,0
Total,Total,DNK,Denmark,2016,42952,5728010,3408,59.5,0.754,0
Total,Total,DNK,Denmark,2017,42952,5764980,3418,59.29,0.776,0
Total,Total,DNK,Denmark,2018,42952,5793636,3635,62.74,0.778,0
Total,Total,DNK,Denmark,2019,42952,5814422,3920,67.42,0.78,0
Total,Total,DNK,Denmark,2020,42952,5831404,4166,71.44,0.782,0
Total,Total,DNK,Denmark,2021,42952,5856733,4222,72.09,0.768,0
Total,Total,DNK,Denmark,2022,42952,5903037,4208,71.29,0.764,0
Total,Total,DNK,Denmark,2023,42952,5946952,4154,69.85,0.78,0
Total,Total,EST,Estonia,2014,45339,1314545,3034,230.8,0.7017,0
Total,Total,EST,Estonia,2015,45339,1315407,2823,214.61,0.749,0
Total,Total,EST,Estonia,2016,45339,1315790,2864,217.66,0.747,0
Total,Total,EST,Estonia,2017,45339,1317384,2723,206.7,0.731,0
Total,Total,EST,Estonia,2018,45339,1321977,2584,195.46,0.734,0
Total,Total,EST,Estonia,2019,45339,1326898,2487,187.43,0.7424999999999999,0
Total,Total,EST,Estonia,2020,45339,1329522,2348,176.6,0.751,0
Total,Total,EST,Estonia,2021,45339,1330932,2189,164.47,0.733,0
Total,Total,EST,Estonia,2022,45339,1348840,2073,153.69,0.733,0
Total,Total,EST,Estonia,2023,45339,1370286,1841,134.35,0.782,0
Total,Total,GRC,Greece,2014,131957,10892413,11798,108.31,0.6784,0
Total,Total,GRC,Greece,2015,131957,10820883,9611,88.82,0.685,0
Total,Total,GRC,Greece,2016,131957,10775971,9560,88.72,0.68,0
Total,Total,GRC,Greece,2017,131957,10754679,10011,93.09,0.692,0
Total,Total,GRC,Greece,2018,131957,10732882,10654,99.27,0.696,0
Total,Total,GRC,Greece,2019,131957,10721582,10891,101.58,0.6984999999999999,0
Total,Total,GRC,Greece,2020,131957,10698599,11379,106.36,0.701,0
Total,Total,GRC,Greece,2021,131957,10569207,11030,104.36,0.689,0
Total,Total,GRC,Greece,2022,131957,10436882,10526,100.85,0.689,0
Total,Total,GRC,Greece,2023,131957,10407351,10242,98.41,0.693,0
Total,Total,ESP,Spain,2014,505990,46460733,65017,139.94,0.7325,0
Total,Total,ESP,Spain,2015,505990,46422303,61614,132.72,0.742,0
Total,Total,ESP,Spain,2016,505990,46458139,59589,128.26,0.738,0
Total,Total,ESP,Spain,2017,505990,46571232,58812,126.28,0.746,0
Total,Total,ESP,Spain,2018,505990,46782011,58883,125.87,0.746,0
Total,Total,ESP,Spain,2019,505990,47118501,58517,124.19,0.7705,0
Total,Total,ESP,Spain,2020,505990,47359424,55180,116.51,0.795,0
Total,Total,ESP,Spain,2021,505990,47443821,55097,116.13,0.788,0
Total,Total,ESP,Spain,2022,505990,47786102,55751,116.67,0.788,0
Total,Total,ESP,Spain,2023,505990,48352528,56698,117.26,0.791,0
Total,Total,FIN,Finland,2014,338455,5461512,3148,57.64,0.8453,0
Total,Total,FIN,Finland,2015,338455,5479531,3135,57.21,0.85,0
Total,Total,FIN,Finland,2016,338455,5495303,3156,57.43,0.845,0
Total,Total,FIN,Finland,2017,338455,5508214,3082,55.95,0.823,0
Total,Total,FIN,Finland,2018,338455,5515525,2956,53.59,0.821,0
Total,Total,FIN,Finland,2019,338455,5521606,2945,53.34,0.8265,0
Total,Total,FIN,Finland,2020,338455,5529543,2751,49.75,0.832,0
Total,Total,FIN,Finland,2021,338455,5541017,2811,50.73,0.861,0
Total,Total,FIN,Finland,2022,338455,5556106,2861,51.49,0.86,0
Total,Total,FIN,Finland,2023,338455,5583911,2962,53.05,0.863,0
Total,Total,FRA,France,2014,643801,66312067,66270,99.94,0.7588,0
Total,Total,FRA,France,2015,643801,66548272,66678,100.19,0.761,0
Total,Total,FRA,France,2016,643801,66724104,68432,102.56,0.755,0
Total,Total,FRA,France,2017,643801,66918020,68974,103.07,0.778,0
Total,Total,FRA,France,2018,643801,67158348,70059,104.32,0.779,0
Total,Total,FRA,France,2019,643801,67382061,70739,104.98,0.78,0
Total,Total,FRA,France,2020,643801,67601110,62543,92.52,0.781,0
Total,Total,FRA,France,2021,643801,67842811,69448,102.37,0.784,0
Total,Total,FRA,France,2022,643801,68184457,72173,105.85,0.791,0
Total,Total,FRA,France,2023,643801,68372286,75913,111.03,0.756,0
Total,Total,HRV,Croatia,2014,56594,4201598,3763,89.56,0.7075,0
Total,Total,HRV,Croatia,2015,56594,4151725,3341,80.47,0.708,0
Total,Total,HRV,Croatia,2016,56594,4106867,3108,75.68,0.7,0
Total,Total,HRV,Croatia,2017,56594,4041407,3190,78.93,0.711,0
Total,Total,HRV,Croatia,2018,56594,3988775,3217,80.65,0.712,0
Total,Total,HRV,Croatia,2019,56594,3949390,3533,89.46,0.716,0
Total,Total,HRV,Croatia,2020,56594,3914206,3531,90.21,0.72,0
Total,Total,HRV,Croatia,2021,56594,3878981,3905,100.67,0.733,0
Total,Total,HRV,Croatia,2022,56594,3855641,4091,106.1,0.733,0
Total,Total,HRV,Croatia,2023,56594,3859686,4445,115.16,0.73,0
Total,Total,HUN,Hungary,2014,93030,9833038,17890,181.94,0.6759,0
Total,Total,HUN,Hungary,2015,93030,9797755,17449,178.09,0.672,0
Total,Total,HUN,Hungary,2016,93030,9759755,17658,180.93,0.669,0
Total,Total,HUN,Hungary,2017,93030,9726756,17343,178.3,0.67,0
Total,Total,HUN,Hungary,2018,93030,9706964,16303,167.95,0.674,0
Total,Total,HUN,Hungary,2019,93030,9694824,16334,168.48,0.6755,0
Total,Total,HUN,Hungary,2020,93030,9670419,16752,173.23,0.677,0
Total,Total,HUN,Hungary,2021,93030,9630932,18623,193.37,0.688,0
Total,Total,HUN,Hungary,2022,93030,9605074,19347,201.42,0.699,0
Total,Total,HUN,Hungary,2023,93030,9592186,17939,187.02,0.689,0
Total,Total,IRL,Ireland,2014,70273,4657740,3777,81.09,0.785,0
Total,Total,IRL,Ireland,2015,70273,4701957,3755,79.86,0.807,0
Total,Total,IRL,Ireland,2016,70273,4762722,3718,78.06,0.797,0
Total,Total,IRL,Ireland,2017,70273,4827445,3680,76.23,0.794,0
Total,Total,IRL,Ireland,2018,70273,4898022,3962,80.89,0.796,0
Total,Total,IRL,Ireland,2019,70273,4976456,4017,80.72,0.797,0
Total,Total,IRL,Ireland,2020,70273,5039747,3810,75.6,0.798,0
Total,Total,IRL,Ireland,2021,70273,5110585,3806,74.47,0.8,0
Total,Total,IRL,Ireland,2022,70273,5212836,4369,83.81,0.804,0
Total,Total,IRL,Ireland,2023,70273,5311538,4731,89.07,0.795,0
Total,Total,ITA,Italy,2014,302068,60320707,54745,90.76,0.6973,0
Total,Total,ITA,Italy,2015,302068,60229605,53410,88.68,0.726,0
Total,Total,ITA,Italy,2016,302068,60115223,55978,93.12,0.719,0
