DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2014,109,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2015,121,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2016,97,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2017,93,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2018,109,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2019,86,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2020,57,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2021,63,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2022,64,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Albania,2023,76,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Austria,2014,501,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Austria,2015,498,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Austria,2016,481,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Austria,2017,508,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Austria,2018,555,,
